x1,x2,y
4.286895556,3.103671245,10.13019193
4.009460377,3.257793759,9.677757035
3.745839252,0.815044615,7.934880997
3.804023017,7.750934053,11.75636932
4.281540306,9.607358942,13.56589509
0.555231141,6.042543701,4.59156522
9.776136067,7.773858681,23.64021893
7.338393561,1.098122254,15.53827326
4.730901651,5.058185723,12.08776382
1.353074435,5.50762687,5.799676322
9.337992253,7.396839098,22.61418259
9.825413235,3.967643496,21.76464409
9.640632133,1.180493968,20.09574413
8.682592908,4.285217752,19.74580169
9.312415914,8.878118059,23.29050183
2.199665136,8.521108838,8.801102848
8.296384052,3.624349713,18.80207089
7.721406568,2.644423184,17.25968277
7.755766872,4.924632294,17.99255395
1.195252659,4.268641762,4.756356506
1.062744642,6.713035301,5.779124292
1.876791416,1.487381073,4.772656426
2.632865183,3.42642821,7.216906454
8.109560977,9.831196662,21.5784312
3.874333054,5.194027092,10.62876711
1.715840948,6.208460513,6.973569298
5.03495125,9.240987952,15.17735628
9.049073899,7.387238371,21.96868174
2.151314658,2.713959691,6.100959138
9.335820943,8.483902282,23.24180169
7.151924144,9.889874148,19.68050925
0.28521776,1.631078023,1.843792214
5.801814843,5.989603789,15.08736222
7.925125666,1.597426332,16.78701024
3.539417012,2.803263551,8.731206888
4.419037616,4.771842903,11.29447462
6.357623484,0.424245387,13.02131811
4.058376722,5.316518528,11.17031811
4.593603927,6.779402553,12.67744001
2.034162661,1.445879676,5.227477041
6.813565461,7.321233539,17.72554597
3.481312352,9.50638658,12.00615724
0.863958404,8.286865754,6.152496629
7.545571204,5.446295006,17.91526128
0.96217848,8.950710555,6.88993764
5.717370823,8.486570828,16.06808867
4.205331663,3.766912691,10.39971384
4.597407128,6.718542066,12.67205824
9.224299838,3.7251995,20.75335549
1.639990417,4.572640015,5.9879133
2.55972106,7.036965803,9.121560504
4.477795965,6.730208535,12.45006876
3.568227882,6.335150169,10.65701917
7.12213369,4.176782797,16.43206529
8.09521755,2.831388629,17.75132621
0.347472173,5.600144695,3.637678123
2.132442342,9.442171074,8.988432242
8.005578637,1.619439141,17.0678229
0.803443438,3.316226059,3.602812159
9.287735736,1.79722086,19.55379898
9.22855565,5.958379547,21.69871667
9.327598737,2.083139786,19.84127835
4.638265406,8.985164734,13.9920299
4.829909454,7.988441004,13.86182543
9.141416427,9.665622686,23.14044002
4.370010411,7.610748449,13.02574022
4.070912833,2.943923072,9.64610133
8.775562118,6.637813323,20.93869966
3.208569405,1.222470988,7.486117382
2.145684104,3.510221633,6.325564873
2.96921639,3.863690642,7.983831842
5.685628255,6.765311295,14.96140437
3.047107807,4.454505434,8.454991325
9.352418506,8.78210102,23.37688692
7.155789834,9.63375828,19.5430054
4.356195148,8.357290828,13.36194451
1.715974881,4.848142195,5.967310663
2.231324772,6.799560056,8.12624566
4.22416751,0.468189608,8.880712462
0.484938554,3.761268522,3.103346317
2.521565482,7.181183592,8.940104601
9.898602277,3.210476912,21.56523358
1.542703292,0.166219039,3.486546787
2.755411471,5.042961668,8.097811485
7.240801287,6.596827468,17.97733042
1.314671174,9.48001034,7.775609083
1.152853536,1.955899418,3.776182319
8.474671034,9.767172104,22.29399587
1.308497513,1.468868395,3.636847318
0.942473005,1.001558491,2.776027844
9.454666031,7.104292929,22.50455469
5.44164978,0.255480066,11.39937578
0.454919757,9.079709466,5.946742731
7.746257524,3.646723832,17.7085695
5.380585107,0.812225084,11.27408619
4.030142772,2.138064929,9.165592633
3.541532426,3.876659074,9.36167031
9.12906366,2.153238369,19.75417192
2.699256346,0.433743013,5.92562736
5.429681424,8.63960028,15.1998248
